recall: 100.000000, precision: 78.125000, f_1 measure: 87.719298
recall: 100.000000, precision: 50.857143, f_1 measure: 67.424242
recall: 87.434161, precision: 85.567010, f_1 measure: 86.490510
recall: 91.466667, precision: 82.451923, f_1 measure: 86.725664
recall: 83.156780, precision: 49.841270, f_1 measure: 62.326320
recall: 47.720042, precision: 100.000000, f_1 measure: 64.608758
recall: 52.667579, precision: 100.000000, f_1 measure: 68.996416
recall: 42.618384, precision: 35.498840, f_1 measure: 38.734177
recall: 38.181818, precision: 17.142857, f_1 measure: 23.661972
recall: 98.630137, precision: 51.724138, f_1 measure: 67.860509
recall: 88.669065, precision: 67.906336, f_1 measure: 76.911076
recall: 100.000000, precision: 68.493151, f_1 measure: 81.300813
recall: 90.780142, precision: 51.821862, f_1 measure: 65.979381
recall: 47.849462, precision: 72.653061, f_1 measure: 57.698541
recall: 85.230024, precision: 83.809524, f_1 measure: 84.513806
recall: 40.806045, precision: 37.028571, f_1 measure: 38.825644
recall: 72.314050, precision: 12.203626, f_1 measure: 20.883055
recall: 77.099237, precision: 75.373134, f_1 measure: 76.226415
recall: 84.075908, precision: 72.785714, f_1 measure: 78.024502
recall: 0.000000, precision: 0.000000, f_1 measure: 0.000000
recall: 58.318584, precision: 81.863354, f_1 measure: 68.113695
recall: 63.788851, precision: 75.393586, f_1 measure: 69.107429
recall: 0.000000, precision: 0.000000, f_1 measure: 0.000000
recall: 60.377358, precision: 13.445378, f_1 measure: 21.993127
recall: 83.333333, precision: 6.550218, f_1 measure: 12.145749
recall: 100.000000, precision: 21.071429, f_1 measure: 34.808260
recall: 100.000000, precision: 23.888889, f_1 measure: 38.565022
recall: 100.000000, precision: 13.285601, f_1 measure: 23.455056
recall: 92.369478, precision: 50.549451, f_1 measure: 65.340909
recall: 78.103448, precision: 40.446429, f_1 measure: 53.294118
recall: 0.000000, precision: 0.000000, f_1 measure: 0.000000
recall: 43.428571, precision: 12.179487, f_1 measure: 19.023780
recall: 96.969697, precision: 83.582090, f_1 measure: 89.779559
recall: 0.000000, precision: 0.000000, f_1 measure: 0.000000
recall: 81.975968, precision: 56.589862, f_1 measure: 66.957470
recall: 53.233438, precision: 77.142857, f_1 measure: 62.995800
recall: 46.366428, precision: 99.560440, f_1 measure: 63.268156
recall: 52.812366, precision: 70.285714, f_1 measure: 60.308899
recall: 49.659864, precision: 14.837398, f_1 measure: 22.848200
recall: 58.773784, precision: 15.885714, f_1 measure: 25.011246
recall: 0.000000, precision: 0.000000, f_1 measure: 0.000000
recall: 0.000000, precision: 0.000000, f_1 measure: 0.000000
recall: 100.000000, precision: 43.116883, f_1 measure: 60.254083
recall: 91.033435, precision: 50.336134, f_1 measure: 64.826840
recall: 0.000000, precision: 0.000000, f_1 measure: 0.000000
recall: 97.158082, precision: 33.975155, f_1 measure: 50.345145
recall: 100.000000, precision: 13.820598, f_1 measure: 24.284880
recall: 100.000000, precision: 48.294931, f_1 measure: 65.133623
recall: 97.005988, precision: 33.061224, f_1 measure: 49.315068
recall: 43.678161, precision: 90.476190, f_1 measure: 58.914729
recall: 40.519187, precision: 68.380952, f_1 measure: 50.885897
recall: 73.401535, precision: 53.478261, f_1 measure: 61.875674
recall: 37.692308, precision: 100.000000, f_1 measure: 54.748603
recall: 100.000000, precision: 14.146341, f_1 measure: 24.786325
recall: 100.000000, precision: 8.796992, f_1 measure: 16.171389
recall: 98.347107, precision: 16.585366, f_1 measure: 28.384019
recall: 93.913043, precision: 21.528239, f_1 measure: 35.027027
recall: 96.414343, precision: 16.462585, f_1 measure: 28.123184
recall: 100.000000, precision: 30.443350, f_1 measure: 46.676737
recall: 95.375723, precision: 24.830700, f_1 measure: 39.402985
recall: 100.000000, precision: 61.167002, f_1 measure: 75.905119
recall: 39.662447, precision: 5.595238, f_1 measure: 9.806990
recall: 100.000000, precision: 51.238095, f_1 measure: 67.758186
recall: 99.801193, precision: 61.369193, f_1 measure: 76.003028
recall: 75.350701, precision: 21.485714, f_1 measure: 33.437083
recall: 73.502304, precision: 42.392027, f_1 measure: 53.771597
recall: 52.434457, precision: 100.000000, f_1 measure: 68.796069
recall: 69.405815, precision: 53.823529, f_1 measure: 60.629486
recall: 26.141079, precision: 4.186047, f_1 measure: 7.216495
recall: 41.276596, precision: 6.445183, f_1 measure: 11.149425
recall: 0.000000, precision: 0.000000, f_1 measure: 0.000000
recall: 0.000000, precision: 0.000000, f_1 measure: 0.000000
recall: 55.835240, precision: 13.942857, f_1 measure: 22.313672
recall: 94.609164, precision: 50.722543, f_1 measure: 66.039511
recall: 100.000000, precision: 63.905325, f_1 measure: 77.978339
recall: 3.947368, precision: 1.285714, f_1 measure: 1.939655
recall: 65.240642, precision: 13.406593, f_1 measure: 22.242479
recall: 100.000000, precision: 57.248677, f_1 measure: 72.812921
recall: 95.090016, precision: 57.241379, f_1 measure: 71.463715
recall: 97.790869, precision: 69.166667, f_1 measure: 81.025015
recall: 79.111111, precision: 65.622120, f_1 measure: 71.738035
recall: 70.040486, precision: 54.920635, f_1 measure: 61.565836
recall: 60.841424, precision: 94.789916, f_1 measure: 74.113009
recall: 55.063291, precision: 8.571429, f_1 measure: 14.833760
recall: 66.304348, precision: 13.942857, f_1 measure: 23.040604
recall: 100.000000, precision: 26.593407, f_1 measure: 42.013889
recall: 56.730769, precision: 17.438424, f_1 measure: 26.676714
recall: 2.978723, precision: 10.000000, f_1 measure: 4.590164
recall: 100.000000, precision: 42.959427, f_1 measure: 60.100167
recall: 100.000000, precision: 41.428571, f_1 measure: 58.585859
recall: 84.263959, precision: 59.285714, f_1 measure: 69.601677
recall: 47.500000, precision: 4.935065, f_1 measure: 8.941176
recall: 100.000000, precision: 49.162562, f_1 measure: 65.918098
recall: 100.000000, precision: 67.127496, f_1 measure: 80.330882
recall: 100.000000, precision: 60.143885, f_1 measure: 75.112309
recall: 72.635561, precision: 82.285714, f_1 measure: 77.160080
recall: 70.217166, precision: 88.181818, f_1 measure: 78.180771
recall: 80.205859, precision: 76.165414, f_1 measure: 78.133436
recall: 52.873563, precision: 16.428571, f_1 measure: 25.068120
recall: 59.401709, precision: 18.051948, f_1 measure: 27.689243
recall: 15.189873, precision: 4.897959, f_1 measure: 7.407407
recall: 78.240741, precision: 48.285714, f_1 measure: 59.717314
recall: 36.000000, precision: 15.194805, f_1 measure: 21.369863
recall: 0.000000, precision: 0.000000, f_1 measure: 0.000000
recall: 83.966245, precision: 71.071429, f_1 measure: 76.982592
recall: 9.467456, precision: 22.857143, f_1 measure: 13.389121
recall: 100.000000, precision: 21.351126, f_1 measure: 35.189003
recall: 100.000000, precision: 52.978339, f_1 measure: 69.262537
recall: 98.840580, precision: 54.126984, f_1 measure: 69.948718
recall: 68.126521, precision: 61.538462, f_1 measure: 64.665127
recall: 47.400990, precision: 72.952381, f_1 measure: 57.464366
recall: 71.788618, precision: 52.559524, f_1 measure: 60.687285
recall: 47.674419, precision: 58.571429, f_1 measure: 52.564103
recall: 100.000000, precision: 19.634146, f_1 measure: 32.823649
recall: 100.000000, precision: 17.771374, f_1 measure: 30.179445
recall: 100.000000, precision: 19.218241, f_1 measure: 32.240437
recall: 100.000000, precision: 23.520249, f_1 measure: 38.083228
recall: 100.000000, precision: 20.076046, f_1 measure: 33.438885
recall: 100.000000, precision: 32.261905, f_1 measure: 48.784878
recall: 100.000000, precision: 24.916944, f_1 measure: 39.893617
recall: 100.000000, precision: 52.386364, f_1 measure: 68.754661
recall: 97.058824, precision: 37.714286, f_1 measure: 54.320988
recall: 100.000000, precision: 63.492063, f_1 measure: 77.669903
recall: 48.928571, precision: 65.238095, f_1 measure: 55.918367
recall: 99.367089, precision: 46.532306, f_1 measure: 63.383125
recall: 22.388060, precision: 35.714286, f_1 measure: 27.522936
recall: 50.450450, precision: 80.000000, f_1 measure: 61.878453
recall: 73.428571, precision: 59.941691, f_1 measure: 66.003210
recall: 100.000000, precision: 39.834025, f_1 measure: 56.973294
recall: 97.574124, precision: 44.968944, f_1 measure: 61.564626
recall: 89.629630, precision: 49.387755, f_1 measure: 63.684211
recall: 69.696970, precision: 52.571429, f_1 measure: 59.934853
recall: 87.082405, precision: 38.522167, f_1 measure: 53.415301
recall: 55.437666, precision: 39.809524, f_1 measure: 46.341463
recall: 64.375000, precision: 44.912791, f_1 measure: 52.910959
recall: 100.000000, precision: 39.214286, f_1 measure: 56.336583
recall: 44.886364, precision: 5.015873, f_1 measure: 9.023415
recall: 100.000000, precision: 50.460594, f_1 measure: 67.074830
recall: 81.981982, precision: 38.075314, f_1 measure: 52.000000
recall: 100.000000, precision: 38.857143, f_1 measure: 55.967078
recall: 77.735849, precision: 68.211921, f_1 measure: 72.663139
recall: 92.017167, precision: 69.746259, f_1 measure: 79.348631
recall: 62.068966, precision: 93.333333, f_1 measure: 74.556213
recall: 0.000000, precision: 0.000000, f_1 measure: 0.000000
recall: 0.000000, precision: 0.000000, f_1 measure: 0.000000
recall: 57.575758, precision: 9.240122, f_1 measure: 15.924568
recall: 41.592920, precision: 8.757764, f_1 measure: 14.468958
recall: 0.000000, precision: 0.000000, f_1 measure: 0.000000
recall: 96.531792, precision: 40.831296, f_1 measure: 57.388316
recall: 100.000000, precision: 26.120448, f_1 measure: 41.421433
recall: 100.000000, precision: 48.709677, f_1 measure: 65.509761
recall: 56.164384, precision: 15.279503, f_1 measure: 24.023438
recall: 100.000000, precision: 59.456399, f_1 measure: 74.573864
recall: 100.000000, precision: 55.462185, f_1 measure: 71.351351
recall: 75.257732, precision: 41.714286, f_1 measure: 53.676471
recall: 83.963345, precision: 78.395722, f_1 measure: 81.084071
recall: 87.269535, precision: 68.646409, f_1 measure: 76.845767
recall: 39.694656, precision: 91.228070, f_1 measure: 55.319149
recall: 67.128028, precision: 25.194805, f_1 measure: 36.638338
recall: 0.000000, precision: 0.000000, f_1 measure: 0.000000
recall: 76.344086, precision: 31.208791, f_1 measure: 44.305772
recall: 49.671772, precision: 30.884354, f_1 measure: 38.087248
recall: 90.000000, precision: 23.588710, f_1 measure: 37.380192
recall: 70.270270, precision: 29.714286, f_1 measure: 41.767068
recall: 100.000000, precision: 33.265306, f_1 measure: 49.923430
recall: 74.056604, precision: 25.779967, f_1 measure: 38.246041
recall: 0.000000, precision: 0.000000, f_1 measure: 0.000000
